node,node_name,category,asset_type,asset_id,data_model_id,data_model_name,data_pool_id,data_pool_name
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.last_task_execution_status,lineage_mapping.last_task_execution_status,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.data_job_id_target,lineage_mapping.data_job_id_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.data_job_name_source,lineage_mapping.data_job_name_source,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.task_target,lineage_mapping.task_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.scheduling_id_target,lineage_mapping.scheduling_id_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.last_step_execution_status,lineage_mapping.last_step_execution_status,ATTRIBUTES-CUSTOMIZED,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.lineage_mapping.data_pool_name_target,lineage_mapping.data_pool_name_target,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.schedule_execution_events.name,schedule_execution_events.name,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.task_name,data_model_tables.task_name,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.data_model_created_at,data_model_tables.data_model_created_at,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.data_pool_name,data_model_tables.data_pool_name,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.created_at,data_model_tables.created_at,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.data_pool_id,data_model_tables.data_pool_id,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
6fb03d9f-d533-4eb9-bcd3-3560729240f5.data_model_tables.task_id,data_model_tables.task_id,ATTRIBUTES-UNKNOWN,KNOWLEDGE_MODEL,6fb03d9f-d533-4eb9-bcd3-3560729240f5,904789ed-fa95-4ee4-81fa-b1cb1a8987e2,Data Lineage Monitoring - Latest,831db6ab-da5e-4d57-9967-c97f4320d2d6,Monitoring Pool
