source_node,target_node,task_target,data_pool_id,data_pool_name,data_model_id,data_model_name
0cca1931-70ef-49b4-a097-332895c99c21_cm_s067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.total_open_delivery_value,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.total_open_delivery_value,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.total_guaranteed_open_delivery_value,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CM_S067,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s067.total_guaranteed_open_delivery_value,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities._case_key,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities._case_key,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.activity_de,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.activity_de,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.activity_en,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.activity_en,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.eventtime,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.eventtime,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities._sorting,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities._sorting,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.user_name,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.user_name,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.user_type,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.user_type,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.changed_table,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.changed_table,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3__cel_ar_activities,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.changed_table_text,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_31443ff6-854c-4adb-8a0c-cd9b197e3de3_1c1e8492-6555-48a8-95b3-a9038659131f__CEL_AR_ACTIVITIES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67._cel_ar_activities.changed_table_text,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
